"date","prcp","tobs","name","latitude","longitude","elevation","id"
"2010-01-01","0.08","65","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",1
"2010-01-02","0","63","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",2
"2010-01-03","0","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",3
"2010-01-04","0","76","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",4
"2010-01-06",NULL,"73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",5
"2010-01-07","0.06","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",6
"2010-01-08","0","64","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",7
"2010-01-09","0","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",8
"2010-01-10","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",9
"2010-01-11","0.01","64","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",10
"2010-01-12","0","61","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",11
"2010-01-14","0","66","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",12
"2010-01-15","0","65","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",13
"2010-01-16","0","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",14
"2010-01-17","0","64","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",15
"2010-01-18","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",16
"2010-01-19","0","66","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",17
"2010-01-20","0","66","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",18
"2010-01-21","0","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",19
"2010-01-22","0","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",20
"2010-01-23","0","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",21
"2010-01-24","0.01","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",22
"2010-01-25","0","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",23
"2010-01-26","0.04","76","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",24
"2010-01-27","0.12","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",25
"2010-01-28","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",26
"2010-01-30",NULL,"70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",27
"2010-01-31","0.03","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",28
"2010-02-01","0.01","66","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",29
"2010-02-03",NULL,"67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",30
"2010-02-04","0.01","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",31
"2010-02-05","0","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",32
"2010-02-06","0","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",33
